Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-10.06145086,-11.76963681,-10.79337205,-10.77048546,-17.80206587,-15.51596,-14.0817179,-14.87848531,-17.08071256,-24.14932808,-16.32170797,-11.83225947,-13.29131653,-15.02031177,-16.22456806,-17.73980632,-9.865250698,-13.56402594,-26.04745422,-10.55420062,-10.13578049,-22.56222827,-27.05414576,-21.14628399,-12.92441707,-17.95016752,-16.89873636,-12.34376533,-11.34215124,-19.26698813,-18.29257279,-17.54803309,-17.49180203,-16.70790973,-20.15733972,-19.1341379,-16.21180758,-14.54838715,-14.78508552,-13.30637022,-13.89722639,-14.71901443,-15.70564992,-13.76023589,-15.97472851,-14.41920236,-21.41988092,-26.07790551,-13.40003702,-8.43421364,-31.63994535,21.63624127,-5.693381784,-16.43615647,-14.6693205,-12.63882875,-15.55285277,-20.94838398,-14.28174912,-20.19641551,-8.355003374,-9.806427956,-8.698493155,-8.578719233,-2.801135437,-7.679681921,-12.93048841,-10.75867031,-9.122083281,-17.99823969,-12.14876796,-19.3227393,-8.922848053,-12.14693765,-6.95241555,-10.22771971,-13.34707873,-7.999119959,-14.98525258,-9.625551796,-13.25841555,-10.05724887,-10.05929469,-22.14512309,-16.06585102,-11.30234571,-5.725560699,-13.97157957,-7.167327187,-15.52949037,-10.87543151,-8.442461492,-12.74311053,-10.24193031,-12.86828833,-14.82523385
2,-4.379594619,-10.66788329,-11.84986748,-10.28196609,-10.83846932,-9.662248872,-10.34502169,-11.19173659,-13.26489992,-14.31440996,-8.263405028,-7.033111354,-6.890736216,-12.6271367,-5.711495828,-15.67327335,-15.13790163,-8.55510764,-13.37138833,-8.607179554,-7.497206741,-14.31133862,-17.06419915,-12.05122485,-12.41226441,-15.10899842,-11.26520793,-6.690054065,-7.735424028,-8.717805199,-11.62509827,-14.198387,-15.04359534,-5.959081812,-7.435623253,-6.158854875,-10.3743234,-10.140054,-11.21181926,-7.095676313,-10.67783012,-9.513322547,-9.618686255,-12.59978995,-14.13276902,-11.57769514,-15.3771163,-7.528970142,-7.877697099,-8.217908691,-17.09961862,20.93827599,-8.291107732,-6.216916015,-10.39810259,-7.974093919,-4.846953736,-15.23670566,-9.672102424,-10.80039417,-6.863316232,-6.219965091,-5.343956945,-5.990663246,-1.973298897,-4.551249344,-10.03715171,-4.406127181,-6.132071754,-7.880027539,-3.646906967,-7.607232385,-6.35924523,-3.613086454,-3.259508874,-6.16627412,-9.227291036,-1.626653027,-6.323660232,-4.065185449,-2.366143372,0.786354445,-6.927832442,-10.63072575,-8.765006909,-4.19249863,-6.652124599,-5.424674162,-5.073425132,-6.15934273,-4.884357692,-4.967368155,-2.502448942,0.10103292,-7.326148481,-6.95799231
3,-4.84292566,-3.916312666,-5.782029721,-5.331843924,-9.737443984,-10.67050638,-3.899533103,-4.390895607,-9.220971594,-11.16241034,-4.190179045,-4.227342892,-9.97345184,-7.331752911,-7.500860247,-7.205816883,-5.897858682,-4.362165091,-6.011718062,-4.040387691,-6.242844737,-7.800011547,-3.345816924,-8.355359914,-5.756260957,-8.367024397,-4.018530888,-10.67448425,-6.437993761,-8.846855384,-7.776850415,-8.147750915,-7.014762205,-10.58425218,-7.106198192,-6.760450478,-10.55814657,-7.751933193,-11.94578962,-1.255821755,-1.508169369,-7.653205979,-7.416069716,-5.457644334,-7.956840119,-4.70462347,-11.25346551,-5.395759512,-6.490659934,-5.44367277,-9.007027483,8.697630535,-3.229608985,-6.907729507,-5.820479604,-4.022526458,-5.434135521,-8.734765448,-4.201599392,-3.869530634,-3.146822707,-2.182780657,-3.9792489,-2.469420406,-0.363752005,-4.953022489,-7.119128096,-1.990635414,-4.141336272,-2.32989924,-2.839156886,-3.034891776,-6.412050896,-2.783113133,-2.992685965,-6.608690499,-1.529866084,-0.932231787,1.568738479,1.165713386,-3.089347279,-0.878633235,-1.523160261,-3.31542041,-3.959962567,-2.469783493,0.80436844,-0.922083129,-2.779557379,-5.533253904,0.038230848,-1.212603253,-2.743309569,-0.945190503,-3.232208984,3.283263025
4,-1.015198099,-3.22731838,-3.87176904,-4.8617973,-7.70301783,-7.691635713,-0.541346058,-1.936909236,-5.926302343,-4.932570606,-5.255979784,-1.844676077,-8.324997359,-2.147389068,-8.984673336,-7.384521242,-3.988565776,-2.540473478,-6.084315565,-4.017683117,-4.324795966,-3.43101081,-3.970918992,-3.304950128,-5.476353989,-5.329642322,-7.472650304,-2.637235493,-3.797311051,-4.825780373,-8.482307226,-3.795690453,-4.365022382,-5.188734079,-6.15463423,-4.468221183,-1.188486856,-6.686771328,-8.529029808,-3.804315596,-7.065230353,-6.043099362,-5.03802321,-1.790256371,-4.598487835,-5.775432306,-5.111700853,-1.193389186,-4.014486587,-3.04237306,-10.1359262,27.85249088,1.505953696,-4.272441031,-1.240416271,1.583818359,-2.562744218,-6.44859299,3.455642396,-3.360890012,-0.391311758,-3.650750871,-2.870880419,-3.8866278,-0.834879877,-4.156994746,-1.150853055,-3.210907265,2.746814254,-1.469364551,-2.689534463,0.601704733,-1.076450197,-2.557192379,2.632545763,-2.583656043,-6.054085446,-0.043797853,1.651216161,2.283231982,0.550562517,0.16267358,0.886303066,-1.571679331,0.945485884,-0.40047868,-0.147894127,0.423572119,-0.621235479,4.370807504,-0.718016313,-3.295022941,3.643540003,4.127612835,-2.79802677,-2.475932527
5,-3.80637414,-2.988976449,-4.678280843,-3.963542945,-2.401196006,-5.67734193,-4.872738446,-0.96880284,-4.224375606,-7.301397961,-3.19733348,-2.35374439,-6.067362416,-4.814845347,-5.249824055,-5.8801364,-6.005492134,-6.773570182,-7.736404015,-6.4126391,-0.71821405,-1.721849605,-7.73473699,-3.280346459,-3.381493705,-6.485314574,-8.729373563,-8.236043306,-2.581965588,-5.750368621,-3.539867142,-4.324497429,-2.943378527,0.122109245,-4.871019382,-7.348437512,-5.168962842,-4.291562462,-2.346869161,1.516742959,-0.309503967,-3.054463434,-3.515157609,-5.340163939,-1.050051511,-0.438764292,-2.430687486,-2.777492142,-3.690643764,2.827869814,-5.573585488,13.94623344,0.12906171,-5.151962417,-0.982221101,0.454782787,-1.688035824,-1.949096539,-1.376478802,-2.237103332,0.160378835,0.541492732,0.892323606,-2.0963941,0.933101761,-0.531954879,1.187393256,0.203480091,-1.497445368,0.550563382,3.705898693,0.884509964,-0.252035763,2.948443087,-0.331732012,0.854142512,-1.369350029,-0.432446937,0.098125683,1.935409233,-1.998916753,1.100646052,0.806980176,4.379713448,3.086423014,3.446033816,2.456145167,-1.389123955,2.358006315,3.667886542,1.812662554,0.230255663,0.229304369,3.433522414,5.00429732,1.275268091
6,-3.706418712,-5.54401797,-0.576373975,-4.112612944,-1.787109304,0.169124689,0.817567112,-2.910279914,-3.400581496,-5.435909563,-6.356216852,-2.814418681,-5.809769292,-4.756227334,-0.719582902,-5.276048317,-5.192899792,-0.975605365,-4.114436316,-4.353429519,-4.385972355,-5.551074337,-1.068785699,0.404929093,-2.082593159,-3.527884542,0.021774741,-1.838831093,-6.099335174,-7.739783953,-1.705086539,-3.327855593,-7.61066276,0.393027728,-3.799686072,-0.954165716,-3.198448652,-6.455884111,-5.718084643,-1.633331265,0.697091934,-4.365752167,-0.951133369,-5.624343094,-4.703508149,-2.386906725,-2.457549015,-3.18190321,2.825045033,-1.901021612,0.472243992,6.880908629,-2.502333306,-1.684177522,-0.867627166,-0.978270731,-2.280313958,-7.519676819,-0.032565968,-7.011182881,-0.97575771,1.800725176,1.088872427,4.645096705,-4.267647598,0.734861728,-0.656281761,-1.620623537,-0.060624813,-4.735950436,3.919675648,0.227182099,1.373570771,1.00751854,-0.396726788,4.119015437,2.466707591,1.266317727,-0.554961914,-2.352875589,1.470432235,5.038648148,1.507496857,0.286721475,1.892062534,0.65292567,0.16916674,1.000713975,1.167339243,-0.676462057,-0.357910612,3.609066634,0.940400941,-4.342942097,1.312471818,-0.300764563
7,0.474858703,-1.725295572,-1.992503133,-0.36734335,0.155726334,-2.525772801,-4.858924828,-0.104917654,-0.681431694,0.132656452,2.028483519,-1.158417729,0.85997221,-2.708425454,0.121681729,-3.506791546,-2.030060797,-0.633572964,-1.20594196,-2.388967977,-2.875397187,0.09376261,-2.575453259,-1.391759554,-3.235028727,-1.329157501,-1.848236127,2.496164688,-3.202939368,-4.428431123,-4.034807332,0.637390555,-1.062581075,-4.304059796,-1.365771534,-5.148917638,-0.287044282,2.275375882,0.679629371,3.286661017,-3.941661489,-1.909661305,-0.781244224,0.479249495,-0.811283816,-5.608920266,-1.941932236,-0.69123,1.748108985,2.387477389,-3.815061388,-0.06515011,-0.144924597,3.879455663,-1.982931224,0.464238141,3.266310018,-0.733450786,0.410161151,-4.144075781,0.356145635,-0.980365842,-2.14854043,0.498263917,4.150746725,-1.981477062,2.509457819,3.840073752,3.37519329,3.207439669,-2.41460453,5.268724247,0.077392848,1.684916014,3.051564639,3.547809024,-0.489531611,2.86119186,-3.475205989,4.848926261,1.77162986,-2.137386807,5.990274807,0.162458456,-1.370666173,-1.382087995,0.754597396,1.986943607,4.795796852,-1.518183423,2.900725723,2.950271927,3.829301606,4.123849612,1.253657227,-1.127833401
8,-1.552932306,-2.960797822,-4.251270659,-2.50293697,-1.223668374,-1.022821902,-1.411708262,-2.240334251,-2.187749585,0.108538936,-2.758544012,-0.81344264,-2.030710575,-3.780093813,-0.705402481,-1.374418713,-0.003418102,-4.420134785,-2.52209556,-1.246337379,-3.780030116,-5.426883971,2.58775342,-1.46119393,-4.365701124,-5.708126148,-3.956467942,0.247565125,-0.21089904,-3.032082609,-3.808058501,-0.146755373,-0.989375919,1.974747439,-0.889666813,-1.253276065,-0.244906089,-1.359497679,-3.28204064,-1.890603334,-0.448592665,-1.826365273,1.117686116,2.011393886,-2.961022135,-3.398470874,-0.916900577,-3.779073784,0.200136531,1.474492497,-2.552777011,5.122727495,0.443932614,-4.343849488,3.638177982,0.501420102,0.288234026,-0.901053059,3.160593249,0.881159591,2.569437607,2.139233194,2.658154469,-3.490453679,3.7318151,4.432742084,-0.065570338,-0.704646655,0.319637147,0.260662061,3.529970118,-1.281952192,1.207455493,2.828467117,0.754237234,2.175663835,-2.395513456,1.381218948,2.157738365,-2.879742794,1.700190205,0.202754614,-0.708167864,2.362242919,0.500886715,2.15045021,0.554863487,3.76181881,1.374416676,3.234810863,1.129211647,2.437053629,0.500462423,3.239963702,3.107970425,2.554159673
9,1.670783284,-3.539151253,-1.703685236,-0.307865237,-2.732794064,2.193330267,1.565393707,-3.862322007,-0.237565537,-0.163153024,-0.208803703,1.06034688,0.159471973,-3.149184634,-2.19371018,-1.017496271,-4.554564988,-2.945059902,-0.546266619,-2.958348769,-4.138310567,-2.934382693,-0.037188123,-3.141884057,-3.303477594,-0.953219956,-1.831841388,-1.44687953,-3.397238714,-2.856946555,-0.293470813,-0.578353362,-4.113301554,-1.28772349,-1.043102661,5.653232481,-0.532919501,-0.312656681,-1.661135686,2.225392005,-0.19111073,0.010934733,-3.066134382,-3.214553452,-1.359805785,1.634094921,-2.213884614,0.374975048,0.908369866,1.326610416,-1.699223556,-14.27958655,3.419755791,0.203194485,0.341803087,2.859692202,0.691253878,-2.226927246,0.212452443,3.041873601,-0.196093259,2.501148547,-2.377051575,4.044276035,0.952156591,3.516304082,4.090233975,2.160409787,-2.93967595,2.836164526,0.860747548,1.357553856,1.241823851,0.771088326,0.396695704,1.755876796,3.436829924,2.793896805,-1.635449731,0.695379618,4.140624955,0.529319472,3.967615726,1.824957234,1.478137588,3.744696572,-1.954860534,2.556232253,0.447853341,-0.079408291,0.871910311,0.759230695,0.48000969,-0.817990399,4.248457336,1.874084697
10,1.012409715,-0.807496924,2.654684284,1.456735529,0.995283042,-1.514839795,0.276635202,-1.99365265,3.817828421,-5.864312123,-2.94018093,-0.960549316,4.543175645,2.22089608,-1.121837382,-2.751972046,3.006650678,-1.382903322,1.089612843,-0.601786843,0.807633508,2.810403642,-1.252819089,-1.403833199,-1.7645559,0.529094128,-0.047331533,-0.297851997,-0.592112466,0.854240761,-0.618452428,1.215078529,-1.200150461,0.165223835,-0.484310664,1.394791455,-0.762509304,0.855477154,-1.134947816,0.904675115,-2.757479474,-0.458207558,0.19210016,4.305108303,-1.111458002,0.798274898,-1.093041998,-0.456444982,3.056077811,-2.793634203,2.256095065,7.51788554,-1.287762358,1.054265733,3.110483268,1.4125817,5.579720323,4.344626546,-1.017228987,-1.591022648,1.98767133,0.50484761,2.819437123,4.721853443,2.191965539,0.167202697,4.226353582,3.968617806,1.644824659,0.211719637,-1.125713601,3.731392081,2.947724963,5.14249158,-1.958280619,1.183827661,3.77589001,1.403165954,2.512086383,-2.001101405,0.022489747,1.314035473,1.289010164,5.8221944,4.551164291,2.650523129,-0.002747882,0.171050945,0.240480827,2.600132169,1.697858745,3.804796668,-0.58786003,2.25447805,3.586813554,1.236368789
