Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-7.32,-5.34,-8.05,-6.81,-15.75,-11.04,-5.97,-14.73,-3.52,-15.9,-7.69,-13.76,-8.95,-4.62,-4.39,-2.64,-1.72,-4.47,-11.01,-0.5,-3.22,-8.51,-1.59,-7.89,-5.83,-3.24,-3.69,-3.51,-0.77,-4.71,-0.48,-4.25,-2.87,-3.94,-0.36,-2.02,-9.7,-4.94,-4.19,-2,1.31,-14.55,-0.43,-6.74,-7.37,-9.21,-6.89,-6.37,-8.82,-6.78,-11.27,0.3,-8.07,-4.94,-6.81,-3.83,-3.57,-4.89,-8.74,-11.02,-13.19,-6.54,-6.47,-11.09,-7.32,-12.13,-0.62,-0.94,-7.15,-4.96,-6.85,-20.1,-6.09,-5.98,-6.72,-6,-7.87,-0.78,-1.75,-4.87,-7.41,-3.89,-0.18,-6.18,-7.98,-11.79,-9.13,-13.94,-7.84,-15.28,-16.86,-15.14,-13.91,-12.33,-7.87,-13.42
2,-4.89,-1.35,-7.72,-3.9,-6.53,-8.48,-8.87,-6.5,-0.87,-9.85,-4.31,-5.6,-7.03,0.57,-3.1,-1.55,3.83,-1.93,-4.01,0.17,-5,-1.35,-1.72,4.4,-2.19,-3.87,-2.18,2.46,0.03,-3.37,2.84,-5.55,-4.01,-1.35,-0.63,-0.01,-6.04,-4.15,-3.34,0.33,-2.81,-4.09,-0.73,2.06,-7.73,-3.88,-1.32,-1.06,-6.4,-2.18,-4.14,5.66,-4.17,0.74,1.22,-1.77,1.31,0.24,-4.79,-1.55,-4.11,2.79,-2.01,-4.01,-5.12,-3.32,-5.07,1.75,4.59,-2.57,-0.93,-1.63,-1.32,2.27,-5.98,-1.94,-1.54,1.85,-0.18,0.65,-1.35,-4.08,-0.31,-2.78,-3.9,0.12,2.53,-5.3,-1.38,-9.29,-8.99,-9.85,-6.69,-3.52,5.76,1.97
3,-2.63,-0.93,-2.52,0.65,-3.93,-3.9,1.58,-2.83,-0.46,-3.83,-6.61,-2.05,-0.39,-2.02,-2.5,3.24,1.05,1.01,4.14,2.18,-0.86,4.29,6.49,2.68,-0.1,2,-0.96,-3.73,1.54,-0.41,1.06,0.78,1.17,-0.03,-0.23,1.69,0.92,-1.84,-1.07,-0.86,1.57,1.4,1.93,0.28,-0.54,-2.25,-0.54,2.65,-0.7,0.45,-2.32,-6.79,1.71,0.15,0,2.38,0.02,0.68,-1.77,-3.92,-0.17,-2.7,-0.01,0.16,4.74,-1.4,-2.13,-0.03,0.14,-2.19,-0.62,-4.99,4.31,0.62,3.82,1.36,0.25,-2.04,-1.34,-1.46,1.44,-0.39,1.26,3.64,-1.96,1.88,-0.56,-4.39,0.84,-1.84,-5.93,-6.49,-4.84,-3.56,-5.51,1.71
4,2.49,-0.07,0.8,-1.75,-0.18,-3.95,-6.18,-3.13,-3.25,-1.21,0.31,-1.95,0.29,0.28,1.58,-1.74,-1.73,1.15,-0.75,4.25,2.77,-1.83,3.02,2.38,-0.48,3.4,5.61,5.97,-0.75,3.73,-1.97,2.2,-2.41,0.9,3.6,0.56,-0.08,-1.55,3.99,5.4,1.72,-0.54,6.21,1.84,1.06,2.61,1.71,-2.55,-0.51,-0.71,1.08,0.03,0.58,0.1,-2.03,0.59,3.42,-0.47,-0.63,2.47,4.26,2.54,-1.39,-3.81,-0.89,2.89,5.53,4.5,3.15,0.27,-0.88,2.38,-3.87,1.1,1.58,-3.8,1.38,1.29,0.3,-0.21,-0.94,-2.93,3.24,-1.81,2.49,2.55,2.46,0.63,-0.96,3.85,0.71,-0.55,1.67,-1.38,2.23,2.59
5,1.11,3.52,0.61,-0.93,-2.57,-1.47,0.03,2.92,0.41,3.65,0.45,0.06,3.2,3.44,5.1,-2.84,0.13,-2.31,2.08,-3.33,1.01,-2.05,-2.01,-1.95,-1.66,-3.53,-2.21,-0.98,-1.55,1.67,5.85,2.55,5.16,-1.24,-0.23,-0.62,0.41,3.24,2.41,-1.02,-4.06,-4.32,-0.72,2.29,0.41,3.28,2.38,-1.32,0.41,2.02,1.44,6.31,2.61,1.23,4.5,-3.44,-0.07,0.04,5.42,0.29,1.78,2.46,1.82,4.47,-2.28,2.37,1.52,5.24,3,8.77,1.43,3.43,2.26,0.46,-0.79,0.95,-0.28,4.62,3.99,-2.2,-1.39,-0.97,3.11,-0.19,4.07,0.01,3.61,1.82,3.39,-0.27,1.49,-3.3,-4.82,1.66,3.33,-2.03
6,3.53,1.59,0.03,1.6,-0.6,0.92,4.89,4.07,3.57,5.48,6.47,3.04,3.48,1.91,0.17,-0.12,2.18,0.55,0.4,2.39,2.66,3.21,-4.6,2.38,3.14,0.03,-2.77,2.81,4.45,-1.21,3.06,-2.09,-2.14,-1.48,1.37,-1.52,2.62,1.36,2.32,1.22,1.95,2.39,1.37,4.13,1.31,1.72,0.75,4.77,6.03,2.73,0.79,3.15,3.86,5.19,5.74,8.03,6.6,2.72,3.25,3.48,-1.13,3.62,3.99,1.26,4.76,4.92,3.22,0.32,-2.16,-0.21,2.73,-1.19,2.85,2.67,2.23,4.05,2.92,1.49,0.99,4.59,1.8,2.44,3.96,6.5,1.56,2.8,1.9,5.13,1.97,-0.79,-3.98,1.49,3.93,1.02,3.12,0.21
7,6.86,4.99,0.95,3.62,5.45,-0.33,2.34,2.05,4.48,4.14,3.46,-1.93,1.38,1.16,3.99,0.87,-0.07,1.75,-0.04,1.89,-1.07,3.15,-0.69,0.41,1.72,4.92,1.68,-0.96,3.83,1.18,5.57,-2.27,4.73,5.22,2.5,5.74,2.45,4.39,2.48,0.5,-0.04,3.78,-2.64,-6.82,-0.95,-2.3,0.04,-3.43,0.46,-0.67,1.16,-2.83,-3.22,0.21,1.68,1.02,-0.25,3.05,-0.46,-0.59,2.8,4.41,2.4,4.74,3.3,-0.23,-1.03,0.37,0.31,0.64,6.94,1.14,1.15,1.2,2.4,7.09,3.6,0.69,4.25,6.43,0.57,2.41,1.52,-1.07,-3.93,1.32,0.89,-0.56,2,4.92,-2.92,-0.42,-0.72,2.52,0.3,4.65
8,4.9,3.93,1.19,-0.69,0.84,4.77,-0.17,4.18,-3.07,0.34,1.1,1.75,-1.4,4.56,-3.26,5.67,4.69,1.41,1.34,-0.33,2.99,4.51,4.61,4.66,0.96,4.13,3.85,7.1,2.1,2.84,-2.26,0.82,-0.78,4.8,0.57,-0.16,2.58,2.22,-2.01,3.57,6.8,2.89,-0.74,1.77,3.81,2.8,5.28,4.25,-0.01,-1.59,0.25,4.78,-0.1,1.59,-0.85,-0.74,-2.72,1.01,-0.33,7.33,-2.66,-2.33,3.05,0.66,0.97,-1.47,1.25,-2.55,1.46,0.03,1.04,7.82,-0.93,2.3,-5.19,0.42,3.41,3.15,0.16,-1.92,3.35,3.82,-1.8,-1.26,0.11,-1.18,5.12,3.61,-0.41,2.71,7.15,2.94,-2.18,2.15,1.62,4.33
9,0.74,-1.77,3.57,5.5,0.16,-4.57,-1.33,2.05,1.97,2.36,4.62,6.08,-0.95,1.21,-0.52,2.51,-1.53,-1.42,-1.25,-2.12,-1.88,0.96,-2.74,-0.73,6.45,-1.03,-1.57,2.17,-2.15,-2.64,0.7,1.15,-0.74,1.25,-2.74,-2.79,-1.11,2.79,0.47,-1.21,1.17,4.84,0.78,3.19,-0.08,-1.58,-1.14,5.26,1.43,3.01,3.69,5.16,1.78,-1.05,-2.67,-2.22,2.56,2.18,1.55,4.31,1.54,2.1,-1.84,0.45,-4.62,-1.32,0.18,1.78,3.38,2.62,-1.3,0.77,-0.78,1.22,-2.74,1.82,0.2,-1.93,0.19,1.59,2.97,-0.08,-0.23,-1.14,2.21,-0.46,-2.49,3.03,1.4,-1.07,2.4,5.18,3.98,0.02,-0.55,-3.45
10,3.81,3.71,-0.05,7.12,4.21,3.45,5.5,1.08,3.35,3.97,3.86,4.57,-1.31,-2.98,2.14,3.39,4.61,4.58,1.82,-0.02,1.86,-6.03,-0.35,-4.61,-0.37,0.29,3.57,-3.7,1.8,-5.96,-1.43,3.76,0.65,1.66,2.87,-1.26,1.41,-5.23,0.63,-0.78,1.93,-0.93,-0.22,-1.87,5.31,0.08,1.74,-0.2,1.27,-1.56,1.49,-2.72,-3.43,-0.22,-1.12,-0.55,-4.36,-1.18,-1.49,3.54,1.67,-1.3,0.87,1.3,-1.22,-4.44,0.68,0.05,0.08,-3.6,2.43,3.18,-1.53,-0.53,3.84,0.04,-2.7,3.31,0.72,1.53,-2.14,1.01,-3.61,-5.93,4.75,2.62,-2.75,-1.04,0.24,2.45,2.3,5.89,5.09,5.01,1.84,0.87
